createdAt;orderId;fulfillmentId;type;channel;location;sku;treatmentQuantity;acquisitionType;stockType;reason;treatmentType;totalOrPartial;registeredAt;situation
2026-02-12T20:39:40.000Z;1610292206527;02;SHIPMENT;lancaperfume;LP SAO PAULO MORUMBI SHOP;502BL009265-A3739G;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-02-19T22:46:27.000Z;processed
2026-02-12T20:39:40.000Z;1610292206527;02;SHIPMENT;lancaperfume;LP SAO PAULO MORUMBI SHOP;502VE012029-A3666G;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-19T22:46:27.000Z;processed
2026-02-12T19:23:12.000Z;1610272206426;02;SHIPMENT;lancaperfume;LP SAO PAULO MORUMBI SHOP;502JA001094-A3276M;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-02-19T22:47:53.000Z;processed
2026-02-12T17:59:16.000Z;1610262206304;02;SHIPMENT;lancaperfume;LP SAO PAULO MORUMBI SHOP;502RG001158-A3170G;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-02-19T22:49:27.000Z;processed
2026-02-13T00:34:48.000Z;1610332206765;01;SHIPMENT;lancaperfume;LP SAO PAULO MORUMBI SHOP;502BL009252-A0001M;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-19T22:59:36.000Z;processed
2026-02-13T00:34:48.000Z;1610332206765;01;SHIPMENT;lancaperfume;LP SAO PAULO MORUMBI SHOP;502CF003207-A0001P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-19T22:59:36.000Z;processed
2026-02-13T00:34:48.000Z;1610332206765;01;SHIPMENT;lancaperfume;LP SAO PAULO MORUMBI SHOP;537MP000216-A366635;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-19T22:59:36.000Z;processed
2026-02-19T11:08:42.000Z;1611872212887;02;SHIPMENT;lancaperfume;LP BH BOULEVARD;501CF008410-A000442;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-02-20T13:18:34.000Z;processed
2026-02-19T11:08:42.000Z;1611872212887;01;SHIPMENT;lancaperfume;LP CAMPO GRANDE;502CA001555-A0001M;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-20T14:04:46.000Z;processed
2026-02-19T11:08:42.000Z;1611872212887;01;SHIPMENT;lancaperfume;LP CAMPO GRANDE;502SH001772-A3741M;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-20T14:04:46.000Z;processed
2026-02-19T11:08:42.000Z;1611872212887;01;SHIPMENT;lancaperfume;LP CAMPO GRANDE;502TS005352-A0001M;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-20T14:04:46.000Z;processed
2026-02-19T11:08:42.000Z;1611872212887;01;SHIPMENT;lancaperfume;LP CAMPO GRANDE;502VE012010-A3613M;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-20T14:04:46.000Z;processed
2026-02-19T12:43:59.000Z;1611892212954;02;SHIPMENT;lancaperfume;LP CAMPO GRANDE;502KT000111-A3041M;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-20T14:05:07.000Z;processed
2026-02-13T04:26:33.000Z;1610362206952;02;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;537BO000993-A264938;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-20T14:13:42.000Z;processed
2026-02-19T19:59:05.000Z;1611962213487;02;SHIPMENT;lancaperfume;LP CAMPO GRANDE;503VE000670-A3282M;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-02-20T14:14:51.000Z;processed
2026-02-20T02:46:08.000Z;1612032214012;01;SHIPMENT;lancaperfume;LP CAMPO GRANDE;502MA001863-A3287PP;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-02-20T14:31:50.000Z;processed
2026-02-18T02:59:45.000Z;1611552211432;02;SHIPMENT;lancaperfume;LP PORTO ALEGRE IGUATEMI;502RG001142-A3692P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-20T16:40:38.000Z;processed
